Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1 3000.00 913.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
16 1.01 1173.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
17 1.01 1170.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
4 1038.00 1142.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
9 10000.00 1186.25 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
5 2000.00 829.15 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
2 3000.00 916.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
8 1500.00 1045.55 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
7 7000.00 904.15 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
18 1.01 1167.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
10 10000.00 1186.35 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
6 2000.00 830.15 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
5 1038.00 1145.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
4 500.00 1164.15 104.874675 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
3 3000.00 919.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
9 1500.00 1045.65 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
8 7000.00 903.15 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
11 10000.00 1186.25 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
19 1.01 1164.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
9 7000.00 903.25 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
6 1038.00 1142.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
12 10000.00 1191.25 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
10 1500.00 1045.55 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
13 10000.00 1186.35 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
7 2000.00 829.15 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
10 7000.00 903.35 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
14 10000.00 1191.35 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
15 10000.00 1186.45 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
16 10000.00 1191.45 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
17 10000.00 1186.55 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
11 7000.00 903.45 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
8 2000.00 829.25 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
18 10000.00 1191.55 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
