Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3000.00 1171.25 1.087804 49.7173 1.26685 5.42507 1.14469 0 6.04815 0 15.2581 0 0 20.4232 0.253784 0 0 0.00952839 0.453414
2 2975.00 1171.25 0.899515 49.5996 1.25661 5.39211 1.13839 0 6.01963 0 15.2292 0 0 20.3755 0.251856 0 0 0.0152157 0.721913
3 2950.00 1171.25 0.710668 49.4085 1.24457 5.35131 1.13043 0 5.9823 0 15.1777 0 0 20.2978 0.249567 0 0 0.0239715 1.13391
4 2925.00 1171.25 0.521261 49.0636 1.22875 5.29408 1.11899 0 5.92653 0 15.0789 0 0 20.1568 0.24652 0 0 0.0391602 1.84672
5 2900.00 1171.25 0.331290 48.2992 1.2026 5.19205 1.09807 0 5.82042 0 14.8511 0 0 19.8434 0.2414 0 0 0.0718957 3.3799
6 2875.00 1171.25 0.140752 45.4075 1.12403 4.86282 1.02905 0 5.45901 0 13.9685 0 0 18.656 0.225748 0 0 0.193627 9.07376
7 2850.00 1171.25 0.014807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09851 97.9015
8 2825.00 1171.25 0.016864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1129 97.8871
9 2800.00 1171.25 0.018917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12752 97.8725
10 2775.00 1171.25 0.020967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1424 97.8576
11 2750.00 1171.25 0.023013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.15752 97.8425
12 2725.00 1171.25 0.025055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17291 97.8271
13 2700.00 1171.25 0.027094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.18856 97.8114
14 2675.00 1171.25 0.029129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.20449 97.7955
15 2650.00 1171.25 0.031160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22069 97.7793
16 2625.00 1171.25 0.033188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.23719 97.7628
17 2600.00 1171.25 0.035212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25398 97.746
18 2575.00 1171.25 0.037233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.27108 97.7289
19 2550.00 1171.25 0.039251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.28849 97.7115
20 2525.00 1171.25 0.041265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30622 97.6938
21 2500.00 1171.25 0.043275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32428 97.6757
22 2475.00 1171.25 0.045283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.34269 97.6573
23 2450.00 1171.25 0.047287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.36144 97.6386
24 2425.00 1171.25 0.049287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.38056 97.6194
25 2400.00 1171.25 0.051285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.40005 97.5999
26 2375.00 1171.25 0.053279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.41993 97.5801
27 2350.00 1171.25 0.055269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4402 97.5598
28 2325.00 1171.25 0.057257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.46088 97.5391
29 2300.00 1171.25 0.059242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48198 97.518
30 2275.00 1171.25 0.061223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.50351 97.4965
31 2250.00 1171.25 0.063202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5255 97.4745
