System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
1 3000.00 1171.25 100.133850 0.9891364974688118 0.990760 -1186390.501139 270.857395 36.958379 145.310257 -210.246669 3061.851242 -9.403 0.000 2.704927 3.185528 2.148 n/a n/a
2 2975.00 1171.25 100.133890 0.9910168779131020 0.992269 -1186393.228213 270.920021 36.974693 145.373764 -211.094335 3064.951726 -9.405 0.000 2.704755 3.146908 2.147 n/a n/a
3 2950.00 1171.25 100.133932 0.9929028227730825 0.993781 -1186395.768927 270.982817 36.991078 145.437749 -211.960521 3068.082257 -9.407 0.000 2.704583 3.089266 2.147 n/a n/a
4 2925.00 1171.25 100.133974 0.9947943640718443 0.995296 -1186398.122049 271.045783 37.007533 145.502221 -212.845893 3071.243542 -9.409 0.000 2.704410 2.994145 2.146 n/a n/a
5 2900.00 1171.25 100.134017 0.9966915343042402 0.996813 -1186400.286325 271.108921 37.024060 145.567186 -213.751147 3074.436313 -9.411 0.000 2.704236 2.807835 2.146 n/a n/a
6 2875.00 1171.25 100.134061 0.9985943663647446 0.998334 -1186402.260481 271.172232 37.040660 145.632649 -214.677009 3077.661328 -9.413 0.000 2.704062 2.280234 2.145 n/a n/a
7 2850.00 1171.25 100.134101 0.9998521330725654 0.999310 -1186431.177511 271.216867 37.054283 145.674135 -215.604568 3080.224960 -9.415 0.000 2.703830 0.578782 2.145 n/a n/a
8 2825.00 1171.25 100.134133 0.9998315898237113 0.999210 -1186513.422885 271.224477 37.061953 145.667857 -216.516820 3081.453558 -9.417 0.000 2.703485 0.575803 2.146 n/a n/a
9 2800.00 1171.25 100.134164 0.9998110838815554 0.999109 -1186595.685043 271.232090 37.069659 145.661936 -217.453988 3082.712765 -9.419 0.000 2.703141 0.572805 2.146 n/a n/a
10 2775.00 1171.25 100.134196 0.9997906149952265 0.999008 -1186677.963937 271.239705 37.077402 145.656381 -218.417030 3084.003504 -9.421 0.000 2.702797 0.569789 2.146 n/a n/a
11 2750.00 1171.25 100.134227 0.9997701829121616 0.998905 -1186760.259515 271.247323 37.085182 145.651202 -219.406954 3085.326737 -9.422 0.000 2.702453 0.566753 2.147 n/a n/a
12 2725.00 1171.25 100.134259 0.9997497873603135 0.998802 -1186842.571726 271.254944 37.093001 145.646411 -220.424813 3086.683468 -9.424 0.000 2.702108 0.563699 2.147 n/a n/a
13 2700.00 1171.25 100.134290 0.9997294281024726 0.998697 -1186924.900515 271.262568 37.100860 145.642018 -221.471715 3088.074742 -9.426 0.000 2.701764 0.560626 2.148 n/a n/a
14 2675.00 1171.25 100.134322 0.9997091048660403 0.998592 -1187007.245825 271.270194 37.108759 145.638033 -222.548824 3089.501653 -9.428 0.000 2.701420 0.557533 2.148 n/a n/a
15 2650.00 1171.25 100.134354 0.9996888173435718 0.998486 -1187089.607599 271.277824 37.116700 145.634468 -223.657361 3090.965344 -9.430 0.000 2.701075 0.554421 2.148 n/a n/a
16 2625.00 1171.25 100.134386 0.9996685653256627 0.998378 -1187171.985775 271.285457 37.124683 145.631337 -224.798609 3092.467003 -9.432 0.000 2.700731 0.551288 2.149 n/a n/a
17 2600.00 1171.25 100.134418 0.9996483484647882 0.998270 -1187254.380291 271.293093 37.132711 145.628650 -225.973921 3094.007878 -9.434 0.000 2.700387 0.548136 2.149 n/a n/a
18 2575.00 1171.25 100.134449 0.9996281664854314 0.998160 -1187336.791080 271.300733 37.140784 145.626422 -227.184716 3095.589270 -9.436 0.000 2.700042 0.544963 2.149 n/a n/a
19 2550.00 1171.25 100.134481 0.9996080191510226 0.998050 -1187419.218075 271.308376 37.148904 145.624666 -228.432490 3097.212535 -9.438 0.000 2.699698 0.541769 2.150 n/a n/a
20 2525.00 1171.25 100.134513 0.9995879060991041 0.997938 -1187501.661204 271.316023 37.157072 145.623396 -229.718820 3098.879100 -9.440 0.000 2.699354 0.538554 2.150 n/a n/a
21 2500.00 1171.25 100.134545 0.9995678270433099 0.997825 -1187584.120393 271.323673 37.165289 145.622626 -231.045366 3100.590453 -9.442 0.000 2.699009 0.535318 2.151 n/a n/a
22 2475.00 1171.25 100.134578 0.9995477816317937 0.997711 -1187666.595566 271.331328 37.173557 145.622373 -232.413882 3102.348153 -9.443 0.000 2.698665 0.532060 2.151 n/a n/a
23 2450.00 1171.25 100.134610 0.9995277696462050 0.997595 -1187749.086640 271.338987 37.181877 145.622651 -233.826209 3104.153824 -9.445 0.000 2.698321 0.528781 2.151 n/a n/a
24 2425.00 1171.25 100.134642 0.9995077906510629 0.997478 -1187831.593533 271.346650 37.190251 145.623477 -235.284304 3106.009184 -9.447 0.000 2.697976 0.525479 2.152 n/a n/a
25 2400.00 1171.25 100.134674 0.9994878443647957 0.997360 -1187914.116157 271.354317 37.198680 145.624870 -236.790224 3107.916017 -9.449 0.000 2.697632 0.522155 2.152 n/a n/a
26 2375.00 1171.25 100.134706 0.9994679303730715 0.997240 -1187996.654419 271.361989 37.207167 145.626846 -238.346150 3109.876205 -9.451 0.000 2.697287 0.518808 2.152 n/a n/a
27 2350.00 1171.25 100.134739 0.9994480556698615 0.997119 -1188079.208119 271.369666 37.215711 145.629426 -239.954028 3111.891158 -9.453 0.000 2.696943 0.515437 2.153 n/a n/a
28 2325.00 1171.25 100.134771 0.9994281980076921 0.996996 -1188161.777470 271.377347 37.224318 145.632627 -241.617361 3113.964604 -9.455 0.000 2.696599 0.512044 2.153 n/a n/a
29 2300.00 1171.25 100.134803 0.9994083787920903 0.996872 -1188244.362054 271.385034 37.232987 145.636471 -243.337669 3116.097055 -9.457 0.000 2.696254 0.508626 2.154 n/a n/a
30 2275.00 1171.25 100.134836 0.9993885904212575 0.996746 -1188326.961864 271.392725 37.241721 145.640980 -245.118038 3118.291334 -9.459 0.000 2.695910 0.505184 2.154 n/a n/a
31 2250.00 1171.25 100.134868 0.9993688324256518 0.996618 -1188409.576786 271.400423 37.250521 145.646176 -246.961372 3120.549837 -9.461 0.000 2.695566 0.501718 2.154 n/a n/a
32 2225.00 1171.25 100.134901 0.9993491043920862 0.996489 -1188492.206699 271.408125 37.259391 145.652081 -248.870749 3122.875077 -9.462 0.000 2.695221 0.498226 2.155 n/a n/a
33 2200.00 1171.25 100.134933 0.9993294058842328 0.996358 -1188574.851474 271.415834 37.268331 145.658722 -250.849436 3125.269697 -9.464 0.000 2.694877 0.494709 2.155 n/a n/a
34 2175.00 1171.25 100.134966 0.9993097364061838 0.996225 -1188657.510980 271.423549 37.277346 145.666124 -252.900907 3127.736479 -9.466 0.000 2.694533 0.491167 2.155 n/a n/a
35 2150.00 1171.25 100.134999 0.9992900955012721 0.996090 -1188740.185076 271.431270 37.286436 145.674312 -255.028855 3130.278351 -9.468 0.000 2.694189 0.487598 2.156 n/a n/a
36 2125.00 1171.25 100.135032 0.9992704826452692 0.995953 -1188822.873615 271.438997 37.295606 145.683317 -257.237211 3132.898395 -9.470 0.000 2.693844 0.484003 2.156 n/a n/a
37 2100.00 1171.25 100.135064 0.9992508973188630 0.995814 -1188905.576443 271.446731 37.304857 145.693166 -259.530160 3135.599861 -9.472 0.000 2.693500 0.480380 2.157 n/a n/a
38 2075.00 1171.25 100.135097 0.9992313389658024 0.995673 -1188988.293397 271.454473 37.314193 145.703892 -261.912162 3138.386172 -9.474 0.000 2.693156 0.476730 2.157 n/a n/a
